ID,H,w
2018-Es-02595,0.1981193,0.6728462
2018-Es-02185,0.21317057,0.65289354
2018-Es-01555,0.25148192,0.6047357
2018-Es-00567,0.15116398,0.7390957
2018-Es-05603,0.17075397,0.71069777
2018-Es-04211,0.2523401,0.6036986
2018-Es-01419,0.17391056,0.7062252
2018-Es-02827,0.15142392,0.73871154
2018-Es-03195,0.24859743,0.60823447
2018-Es-01672,0.16085319,0.724911
2018-Es-01306,0.15602335,0.73194736
2018-Es-06869,0.20630549,0.6619197
2018-Es-02045,0.21278407,0.65339845
2018-Es-04430,0.17739223,0.70132464
2018-Es-05341,0.21830043,0.6462293
2018-Es-01274,0.13502139,0.7633468
2018-Es-02506,0.19933273,0.67121524
2018-Es-05242,0.17322451,0.7071948
2018-Es-05299,0.28728163,0.5629507
2018-Es-00723,0.15608872,0.73185164
2018-Es-00698,0.17998798,0.6976931
2018-Es-00150,0.27396348,0.5781471
2018-Es-01235,0.19798832,0.67302245
2018-Es-00256,0.1759185,0.70339483
2018-Es-04128,0.29946595,0.5493981
2018-Es-02905,0.2860465,0.56434304
2018-Es-04564,0.2595758,0.5950251
2018-Es-03008,0.16037723,0.7256014
2018-Es-03661,0.32326838,0.5238569
2018-Es-01929,0.1666037,0.71662146
2018-Es-01650,0.19072653,0.6828684
2018-Es-02274,0.16628928,0.7170723
2018-Es-00430,0.2205174,0.6433703
2018-Es-02339,0.23943333,0.6194851
2018-Es-05643,0.20362826,0.6654735
2018-Es-04713,0.20915288,0.6581609
2018-Es-01561,0.20080385,0.6692433
2018-Es-01778,0.20670675,0.6613887
2018-Es-05672,0.179623,0.69820255
2018-Es-03199,0.22011214,0.643892
2018-Es-06156,0.22525264,0.63730603
2018-Es-04767,0.23584314,0.6239493
2018-Es-03903,0.29620597,0.55299187
2018-Es-06768,0.26631957,0.5870536
2018-Es-02373,0.2157376,0.64955014
2018-Es-00318,0.26938945,0.5834603
2018-Es-04032,0.18149002,0.6956004
2018-Es-01333,0.13899606,0.75730276
2018-Es-04872,0.27981183,0.57142407
2018-Es-03553,0.14946967,0.7416044
2018-Es-05443,0.17739981,0.701314
2018-Es-02205,0.22060694,0.6432551
2018-Es-00268,0.1608314,0.7249425
2018-Es-01599,0.30388927,0.54455924
2018-Es-06112,0.24429078,0.61349595
2018-Es-06904,0.23634173,0.6233274
2018-Es-00237,0.1475651,0.74443465
2018-Es-01197,0.2600419,0.5944708
2018-Es-02978,0.16677512,0.7163759
2018-Es-03627,0.26003298,0.59448135
2018-Es-01206,0.2906188,0.5592059
2018-Es-05362,0.1999568,0.6703779
2018-Es-02685,0.25231576,0.603728
2018-Es-03560,0.25637686,0.59884423
2018-Es-06747,0.21414994,0.651616
2018-Es-02182,0.20486379,0.66383106
2018-Es-05502,0.14824308,0.7434259
2018-Es-01376,0.21081923,0.65597117
2018-Es-05508,0.30115643,0.54754376
2018-Es-06425,0.22821642,0.63353956
2018-Es-02477,0.2185431,0.64591575
2018-Es-00498,0.19461845,0.67757374
2018-Es-02115,0.16459857,0.71950114
2018-Es-03334,0.24870534,0.6081032
2018-Es-06843,0.16267036,0.72228116
2018-Es-03015,0.24622701,0.6111249
2018-Es-01036,0.22889867,0.63267565
2018-Es-00441,0.27663675,0.57506424
2018-Es-05715,0.21463923,0.6509786
2018-Es-03688,0.19979382,0.6705965
2018-Es-05403,0.19397545,0.6784457
2018-Es-06438,0.2864732,0.5638616
2018-Es-02135,0.16055165,0.7253483
2018-Es-04789,0.1991908,0.67140573
2018-Es-05538,0.12711532,0.77551293
2018-Es-01836,0.29056418,0.559267
2018-Es-01646,0.22783537,0.63402253
2018-Es-00061,0.18411349,0.6919601
2018-Es-03679,0.17091113,0.71047443
2018-Es-05016,0.25974223,0.5948272
2018-Es-01118,0.2525747,0.6034154
2018-Es-03601,0.18689567,0.6881205
2018-Es-01694,0.28216076,0.5687459
2018-Es-00618,0.14205201,0.75268835
2018-Es-06583,0.1402696,0.7553763
2018-Es-01413,0.10753869,0.80647904
2018-Es-05144,0.19909583,0.67153335
2018-Es-01623,0.17308441,0.707393
2018-Es-00659,0.2206782,0.64316344
2018-Es-04634,0.19690524,0.6744818
2018-Es-03540,0.24032582,0.6183803
2018-Es-03825,0.28710616,0.56314826
2018-Es-03059,0.11484625,0.7947779
2018-Es-00812,0.2417709,0.6165957
2018-Es-00291,0.17635013,0.7027878
2018-Es-00957,0.23708959,0.6223957
2018-Es-00401,0.16902073,0.7131657
2018-Es-01787,0.12370796,0.7808159
2018-Es-02328,0.13404539,0.76483834
2018-Es-02510,0.22410248,0.63877374
2018-Es-04898,0.26795578,0.58513564
2018-Es-01243,0.3195409,0.52777684
2018-Es-06052,0.218251,0.6462932
2018-Es-01004,0.14118686,0.75399184
2018-Es-04187,0.15709443,0.7303811
2018-Es-01218,0.105852954,0.8092027
2018-Es-00809,0.17553811,0.70393014
2018-Es-04278,0.2082408,0.6593627
2018-Es-01442,0.20809764,0.6595515
2018-Es-01986,0.14172195,0.7531854
2018-Es-05563,0.13230799,0.76750064
2018-Es-01342,0.22573876,0.6366868
2018-Es-06105,0.16288646,0.72196907
2018-Es-00616,0.13586752,0.7620561
